Organ,Organ_Condition,Image URL
Human Body,Healthy,https://drive.google.com/thumbnail?id=1HftdNyH3-uxcMckgHtvMBAvbCzUSnWQg&sz=w1000
Human Body,Damaged,https://drive.google.com/thumbnail?id=1L_UxkF8ZHdQ0rIc865_x_rADiYbRFxaB&sz=w1000
Heart,Healthy,https://drive.google.com/thumbnail?id=19gD7qaIe6_CtIiKgTY9Gw0oRPSORU3Uq&sz=w1000
Heart,Damaged,https://drive.google.com/thumbnail?id=19LnRzIT4urZ1Hi-tWASk9JH_CM7XS-ux&sz=w1000
Lungs,Healthy,https://drive.google.com/thumbnail?id=17d84HuyNurZq9p9dbTpwYOHl73Sy1Zft&sz=w1000
Lungs,Damaged,https://drive.google.com/thumbnail?id=155-5hBHSEnLXiMV82n7ag9QmT3_iIz8u&sz=w1000
Kidney,Healthy,https://drive.google.com/thumbnail?id=1QXOqQtIIYRD9aYRZXzzMUMCOaIIGi9Rc&sz=w1000
Kidney,Damaged,https://drive.google.com/thumbnail?id=1nGZNZdxRqFP69l12fw0J-geREOSVaGrq&sz=w1000
Liver,Healthy,https://drive.google.com/thumbnail?id=1UNAWTNhIUd6abjX0xgqrJt0Wgt3V_fUI&sz=w1000
Liver,Damaged,https://drive.google.com/thumbnail?id=1KKudIlI1XXMO4gv9M9p6e89GuAyyaG9h&sz=w1000
